datetime,realization,ORO_fnf,SHA_fnf,FOL_fnf,YRS_fnf,NML_fnf,DNP_fnf,EXC_fnf,MIL_fnf,PFT_fnf,KWH_fnf,SUC_fnf,ISB_fnf
11/11/2011,1,1162.281075,1773.010898,698.5278309,722.1742347,1186.443817,2058.749008,864.9433121,1902.827045,1978.659043,479.7071059,217.1148968,1103.575147
11/12/2011,1,1481.852511,1831.181748,716.9148542,775.8076849,1310.97287,2279.453127,924.6593273,2036.271494,2173.98446,579.2025736,275.8318274,1302.026287
11/13/2011,1,1416.265312,1544.92242,686.5982189,656.0869632,807.8526035,1678.051718,808.8583979,1973.022634,2020.74597,418.5202853,156.2567574,1006.035339
11/14/2011,1,1091.073378,1129.574605,625.1117583,521.0998417,571.6746138,1357.184177,703.5369331,1770.840502,1804.501272,298.9440559,74.39993284,747.5975599
11/15/2011,1,851.829,857.0758372,587.3661079,440.7539063,545.2008407,1306.914542,665.9895481,1607.111661,1724.51996,284.5700646,66.4311189,679.8461507
11/16/2011,1,756.6791285,827.1972514,560.2877008,398.6644554,526.9579227,1249.743805,645.7839478,1533.167508,1696.22644,279.5794514,64.10082242,677.8969623
11/17/2011,1,782.7034784,1120.839553,544.5078802,384.8232426,516.7623693,1209.467475,634.4550724,1509.220323,1669.200892,276.9064839,63.50470082,673.5668026
11/18/2011,1,2003.103069,1686.316021,1206.098429,1333.139609,545.4198475,1197.402805,627.7688845,1492.794098,1637.170645,273.7334783,62.21125887,656.3788918
11/19/2011,1,2383.838973,2469.051721,2192.381737,1760.972589,668.1078145,1433.836613,835.1957621,1491.523714,1631.102196,285.4725218,67.7775192,658.1285633
11/20/2011,1,1652.618478,2008.284914,2054.665992,1429.124763,643.5625202,1493.531436,904.3060042,1573.982202,1806.220974,370.0388545,104.2203044,1122.527173
11/21/2011,1,1053.535753,1983.700052,1152.375078,881.7303573,543.8389537,1278.829563,728.4579084,1573.924558,1730.655914,374.2686512,108.6500862,1079.927731
11/22/2011,1,1076.30871,4663.484084,639.4363158,562.8410344,503.6853232,1148.357875,623.1137843,1501.810311,1590.455346,312.8181337,80.99197288,754.3714236
11/23/2011,1,1669.240818,8548.723822,689.9640074,570.8635356,490.5415861,1122.661116,612.0742878,1490.793681,1565.400848,283.0282729,73.44785403,659.695315
11/24/2011,1,1814.574637,9395.858783,965.3094151,644.6315816,492.4889436,1139.014355,617.0221088,1515.51946,1557.247888,274.3767004,83.25928158,710.5152419
11/25/2011,1,1409.833156,5584.13959,861.9799266,610.898584,491.7234415,1137.619814,609.044424,1481.325428,1534.823721,264.1270793,76.91704422,717.5666931
11/26/2011,1,1086.512489,2181.564824,628.0738998,568.9315269,477.2073514,1107.926325,585.3674696,1413.08716,1511.431083,253.8275931,64.38018761,676.1096057
11/27/2011,1,941.8789925,1181.48453,576.615739,545.8198094,467.2005561,1220.216637,569.1533273,1425.894156,1592.413856,255.6021102,65.13278064,710.3451073
11/28/2011,1,897.993608,1072.746737,588.3930895,492.9434474,471.2763549,1331.030473,563.6225191,1425.129063,1692.63718,261.231958,62.78180931,713.3381711
11/29/2011,1,802.8793172,1101.456384,544.7596169,428.5580188,474.5279322,1351.974944,566.9908627,1366.759634,1646.233639,259.3005803,60.32800164,676.8427482
11/30/2011,1,693.1353039,986.1165631,480.124733,394.0913605,457.8250148,1267.441368,562.7854711,1325.977034,1556.844734,269.3835177,59.16895482,631.4927507
12/1/2011,1,685.7004352,866.7307142,456.2737699,384.4610652,443.9518455,1117.814083,549.667413,1305.448853,1478.230932,257.1203198,59.71265135,595.7831156
12/2/2011,1,692.427974,818.346264,443.6536445,377.4531971,437.5256328,1037.768272,541.4963382,1292.399,1420.940862,238.124203,58.1379072,582.0676934
12/3/2011,1,644.5514366,780.0978177,440.7327003,366.4122472,432.2539964,1017.389167,535.9567034,1280.812819,1398.081261,234.3235389,57.8289952,572.4856136
12/4/2011,1,613.7558864,770.6535199,442.1308543,346.7364541,431.9264931,1009.309581,530.9546162,1270.263563,1386.062616,233.0696832,57.48257586,569.5159296
12/5/2011,1,596.3957159,752.0739458,435.3758684,334.0416296,429.8808808,1002.235541,526.1501741,1258.810586,1371.800822,230.8363517,56.77197576,566.4246878
12/6/2011,1,594.2532805,740.8568332,432.4218882,332.001663,426.0997719,993.3737415,521.1936902,1247.488356,1359.29973,227.6857723,55.2282828,561.6113924
12/7/2011,1,582.5138574,720.6893175,419.8298561,324.9105781,418.9571201,982.9554649,515.7251683,1234.961622,1344.928349,224.9095141,55.34244575,557.0150356
12/8/2011,1,557.040643,695.8496061,402.3021519,321.3770534,407.5868943,969.3817967,509.3687516,1221.806,1330.506681,222.4085642,54.02035075,549.5966762
12/9/2011,1,552.9916881,684.0761974,403.7519783,322.6255095,399.9757685,957.1366193,503.3223868,1208.327007,1314.422528,218.8531023,52.97726796,541.9204747
12/10/2011,1,550.2189142,681.4255396,399.871687,309.679639,391.9582265,945.3062815,497.5489745,1197.134513,1303.065216,216.7666171,50.81790867,533.3970103
12/11/2011,1,547.1855473,680.3616288,392.7701875,298.077298,391.1622844,937.0961212,492.7122982,1190.015053,1287.255385,213.3230194,49.71836642,528.6002256
12/12/2011,1,540.8497735,663.5338863,394.2862586,302.8608643,391.5904087,932.8269494,489.0677649,1183.781199,1282.359096,213.734029,50.4130467,545.2703333
12/13/2011,1,541.4722239,666.6836528,397.0330228,302.3417746,388.1290397,929.0582144,486.3638766,1178.312916,1274.976514,211.9681602,49.68847038,548.6380321
12/14/2011,1,667.9123574,816.5743058,415.9337151,348.1560025,391.5527677,923.1830001,482.890464,1168.891586,1267.123172,211.5645536,50.31108799,541.404298
12/15/2011,1,673.9625889,905.1907936,436.1712902,407.7932777,397.0525305,942.4331092,478.5509656,1157.705697,1258.046049,209.1318043,49.24990207,535.1958026
12/16/2011,1,582.7268373,824.9330238,415.0649433,367.2907987,387.7292558,931.2550194,473.9657275,1145.749576,1248.981928,207.8284722,49.91584398,531.7875079
12/17/2011,1,565.4264128,767.4161771,376.3310395,297.3550857,365.9463826,895.9856598,467.0997273,1129.245354,1235.312095,204.4837127,48.97785936,574.1264021
12/18/2011,1,538.3514698,705.3576579,357.7420082,277.235648,357.7015781,877.7514034,461.8668947,1116.725952,1222.15251,200.3702148,46.53746693,673.3843353
12/19/2011,1,491.5265407,630.7467439,352.4906625,272.0781601,356.2396314,870.5028521,458.2938614,1107.949891,1212.694435,199.1432992,45.81174218,615.8047158
12/20/2011,1,472.1342536,597.1300482,351.9262697,270.9786201,353.048043,865.4665078,454.6542698,1098.036798,1204.363425,198.2577609,46.87939051,520.6409876
12/21/2011,1,465.8536755,588.6415477,347.2127578,265.4642688,352.2348571,858.6455757,451.4736113,1089.312174,1196.955523,196.3458538,45.47080057,495.8869641
12/22/2011,1,472.328758,594.6929008,349.0762724,263.8260582,349.5319934,851.1971549,448.4379488,1081.452411,1184.892279,193.6559034,44.37537671,494.3493274
12/23/2011,1,485.4001698,596.0284724,349.1343401,260.3135175,342.6883122,843.5370585,444.658692,1073.810907,1177.044879,193.1399177,45.03848453,495.0074927
12/24/2011,1,473.6547669,584.2441312,339.1236935,252.0481296,336.4210734,834.1151732,439.9610841,1060.463882,1165.274962,190.8191352,44.67050858,488.976413
